CPS Name,Lit. Name,system_name,sysname,cps_identifier,comp_ind,Msini,Msini_high,Msini_low,a,a_high,a_low,ecc,ecc_high,ecc_low,teff,teff_err,feh,feh_err,logg,logg_err,Rstar,Rstar_err,Mstar,Mstar_err,Vmag,BV_color,parallax
HD 24040 b,HD 24040 b,HD 24040,HD24040,24040,1,4.05,0.15,0.15,4.708,0.076,0.077,0.0117,0.011,0.0082,5776.5,84.6,0.197,0.059,4.197,0.029,1.387,0.031,1.104,0.053,4.1822,0.66,0.02142
HD 26161 b,HD 26161 b,HD 26161,HD26161,26161,0,13.5,8.5,3.7,20.4,7.9,4.9,0.82,0.061,0.05,6057.6,87.6,-0.009,0.059,4.163,0.027,1.456,0.032,1.133,0.054,3.8946,0.501,0.02441
HD 28185 b,HD 28185 b,HD 28185,HD28185,28185,0,6.04,0.2,0.2,1.045,0.016,0.018,0.0629,0.0042,0.0049,5622.0,93.8,0.227,0.061,4.383,0.034,1.076,0.025,1.023,0.05,4.8139,0.75,0.02536
HD 28185,HD 28185,HD 28185,HD28185,28185,0,40.0,43.0,28.0,15.9,7.3,5.1,0.26,0.12,0.093,5622.0,93.8,0.227,0.061,4.383,0.034,1.076,0.025,1.023,0.05,4.8139,0.75,0.02536
HD 285968 b,HD 285968 b,HD 285968,HD285968,285968,0,0.0285,0.0043,0.0043,0.06649,0.00042,0.00043,0.16,0.14,0.11,3703.5,32.1,0.147,0.081,4.784,0.009,0.478,0.008,0.509,0.01,10.0998,1.51,0.10556
HD 31253 b,HD 31253 b,HD 31253,HD31253,31253,0,0.446,0.063,0.063,1.296,0.024,0.025,0.44,0.12,0.17,6014.9,81.7,0.14,0.058,4.032,0.03,1.829,0.042,1.325,0.073,3.4852,0.53,0.01717
HD 32963 b,HD 32963 b,HD 32963,HD32963,32963,0,0.726,0.036,0.035,3.416,0.058,0.059,0.069,0.04,0.039,5706.1,92.6,0.075,0.061,4.336,0.032,1.111,0.026,0.981,0.046,4.8551,0.63,0.02623
HD 33636 b,HIP 24205 b,HD 33636,HD33636,33636,0,8.92,0.29,0.3,3.238,0.051,0.053,0.491,0.005,0.0049,5949.3,90.3,-0.071,0.061,4.409,0.031,1.04,0.024,1.017,0.049,4.7957,0.61,0.03372
HD 34445 b,HD 34445 b,HD 34445,HD34445,34445,0,0.658,0.04,0.04,2.106,0.038,0.04,0.103,0.059,0.056,5829.5,86.2,0.138,0.059,4.146,0.031,1.479,0.034,1.11,0.06,4.0537,0.62,0.02167
HD 3651 b,HD 3651 b,HD 3651,HD3651,3651,0,0.2202,0.0077,0.0077,0.2954,0.0043,0.0044,0.614,0.015,0.015,5205.9,74.5,0.168,0.06,4.505,0.03,0.872,0.017,0.888,0.039,5.5719,0.92,0.08979
HD 37124 b,HD 37124 b,HD 37124,HD37124,37124,0,0.65,0.016,0.016,0.5253,0.0032,0.0032,0.05,0.019,0.022,5698.6,48.7,-0.326,0.06,4.391,0.016,0.949,0.017,0.813,0.015,5.0714,0.67,0.03155
HD 37124c,HD 37124c,HD 37124,HD37124,37124,1,0.647,0.08,0.09,1.687,0.011,0.011,0.126,0.047,0.045,5698.6,48.7,-0.326,0.06,4.391,0.016,0.949,0.017,0.813,0.015,5.0714,0.67,0.03155
HD 37124 d,HD 37124 d,HD 37124,HD37124,37124,2,0.659,0.034,0.036,2.67,0.022,0.021,0.16,0.12,0.11,5698.6,48.7,-0.326,0.06,4.391,0.016,0.949,0.017,0.813,0.015,5.0714,0.67,0.03155
HD 3765 b,HIP 3206 b,HD 3765,HD3765,3765,0,0.173,0.014,0.013,2.108,0.032,0.033,0.298,0.078,0.071,5049.8,64.9,0.172,0.06,4.527,0.026,0.831,0.016,0.852,0.033,6.1734,0.94,0.05576
HD 38529c,HD 38529c,HD 38529,HD38529,38529,0,0.876,0.014,0.014,0.1329,0.00035,0.00035,0.26,0.014,0.015,5624.2,116.1,0.377,0.059,3.709,0.012,2.858,0.04,1.529,0.012,2.9671,0.77,0.02358
HD 38529 b,HD 38529 b,HD 38529,HD38529,38529,1,13.21,0.1,0.1,3.736,0.01,0.01,0.3545,0.0048,0.0047,5624.2,116.1,0.377,0.059,3.709,0.012,2.858,0.04,1.529,0.012,2.9671,0.77,0.02358
